nao
matricula
pra
boleto
saber
valor
gostaria
curso
consigo
pagar
dia
fazer
vou
entao
quero
preciso
fiz
aulas
estacio
mensalidade
agora
acessar
ate
sobre
mes
email
pagamento
posso
ainda
acesso
queria
senha
contato
faco
aula
entrar
paguei
tudo
ter
pois
pode
sia
voce
semestre
conseguindo
aqui
vai
obrigada
aparece
nada
ser
disciplinas
numero
sim
porque
bom
portal
boa
porem
mim
materias
certo
faculdade
voces
hoje
site
polo
requerimento
ola
caso
obrigado
bolsa
ver
outra
atendimento
duvida
desconto
tarde
aluno
consegui
sei
estao
grade
falar
bem
assim
cancelar
data
boletos
tambem
presencial
outro
recebi
onde
sistema
renovacao
sao
dis
informacoes
problema
favor
sendo
vcs
enviar
dias
resolver
tentando
estagio
periodo
pago
entendi
inscricao
poderia
vencimento
sera
sala
primeiro
entrei
materia
online
quanto
fica
mensalidades
mudar
algum
meses
erro
cpf
ead
tempo
mensagem
disciplina
tentei
coisa
opcao
documentos
ontem
virtual
trancar
fevereiro
app
nome
momento
atendente
informacao
contrato
abrir
todo
cancelamento
alguma
diz
primeira
somente
desse
unidade
apenas
reais
conseguir
transferencia
novo
nenhuma
ano
graduacao
consta
referente
estudar
duas
possivel
nesse
antes
semana
declaracao
novamente
segunda
tirar
tentar
ajudar
janeiro
mandar
passado
trabalho
disse
desde
dois
duvidas
negociacao
valores
nenhum
final
link
historico
cartao
pos
consegue
telefone
todas
aberto
noite
todos
instituicao
horario
ajuda
ficar
inicio
entro
prazo
marco
comecar
solicitar
vez
documento
sabe
parcelas
aplicativo
turma
conta
disponivel
horas
prova
dando
provas
acho
informar
errado
forma
faz
vezes
cobrando
via
comprovante
dar
realizar
verificar
veio
documentacao
vem
amanha
proximo
parcela
ninguem
diploma
funciona
mesma
nova
plataforma
teams
poder
deu
dados
feito
passar
direito
algo
apos
divida
debito
pro
pagando
codigo
comeca
renovar
tbm
voltar
devo
sempre
falta
estar
moca
fazendo
falaram
pouco
correto
assistir
cobranca
dizer
continuar
campus
apareceu
acabei
irei
segundo
existe
cursar
problemas
situacao
fala
area
entender
trocar
aparecendo
colocar
enviei
aguardar
passo
aluna
falando
pagina
alterar
dizendo
tento
parte
tendo
whatsapp
algumas
hora
modalidade
acordo
solicitacao
rematricula
celular
dezembro
credito
nunca
quais
pedir
entra
dessa
resposta
vao
atencao
qualquer
gestao
processo
solicitei
pedi
nota
horarios
pegar
precisa
trancamento
retorno
fiquei
calendario
negociar
disso
cada
juros
matriculei
relacao
disseram
questao
falou
login
chegou
vestibular
matriculada
ligar
normal
informaram
agradeco
financeiro
informado
realizei
menos
enquanto
conteudo
mandei
paga
ficou
ensino
confirmar
financeiros
conclusao
achei
falei
assuntos
alguem
ligacao
toda
liguei
iria
possa
esperar
outras
receber
protocolo
gentileza
pendente
empresa
setembro
efetuar
certificado
redefinir
abre
melhor
alunoa
presenciais
nessa
abri
outubro
iniciar
coloco
disponiveis
cadastro
passaram
agosto
tipo
outros
passou
analise
cobrado
verdade
coordenador
alunos
comecei
partir
pede
atraso
secretaria
vence
pessoa
passada
havia
possibilidade
perdi
total
tres
mandaram
termo
reabrir
dinheiro
finalizar
colacao
web
condicoes
matriculado
clico
realmente
deveria
cursei
otimo
feira
alguns
pedindo
logo
assinatura
flex
entregar
debitos
manha
estudante
gerar
grau
tela
manda
concluir
professor
novembro
meio
perder
ultimo
anos
varias
precisando
computador
dai
motivo
vejo
coloquei
reabertura
atraves
efetuei
sexta
inclusive
comecam
entendendo
print
brasil
respeito
entendo
primeiros
incluir
academico
aguardando
educa
cursos
quer
explicar
notas
central
liberado
montar
escolar
dificuldade
tava
olha
jeito
comeco
comigo
continua
procedimento
pendencia
lembro
durante
seguinte
informou
avaliacao
microsoft
ficaria
ultima
aguardo
tranquei
atualizar
abril
obrigatorio
fico
tcc
alteracao
digital
cidade
atividades
desculpa
pedido
integral
aproveitamento
serao
entrando
volta
vista
msm
alem
quase
uns
estudo
chamo
pagaria
podem
infelizmente
julho
banco
estudos
quantas
opcoes
assinar
cursando
deixa
fim
terminar
precisar
video
junto
aceite
administracao
fez
ajudou
tanto
entrada
diferente
recebo
diferenca
engenharia
fatura
endereco
deram
enviado
deg
parcelar
avaliacoes
constando
errada
transferir
semi
inscrevi
aprovado
demais
taxa
acontece
demora
enviaram
indo
direto
coisas
gente
renova
financeira
devido
anterior
diluicao
primeiras
deve
procurar
semipresencial
precisava
sair
simulado
resolvido
pergunta
matricular
esqueci
serasa
baixa
pagamentos
deixar
ana
aonde
querendo
neste
retornar
sistemas
mudanca
restante
comecou
agendar
informada
lugar
setor
proxima
