word
pra
matrícula
boleto
saber
valor
gostaria
curso
consigo
pagar
dia
fazer
vou
então
quero
preciso
fiz
aulas
mensalidade
agora
acessar
sobre
estácio
email
q
pagamento
mês
posso
ainda
pq
acesso
queria
senha
nao
contato
aula
entrar
faço
paguei
tudo
ter
pois
pode
sia
semestre
conseguindo
aqui
vai
aparece
obrigada
nada
ser
disciplinas
sim
bom
portal
porque
boa
mim
matricula
número
certo
vc
faculdade
hoje
aí
site
porém
requerimento
tá
caso
polo
matérias
bolsa
ver
obrigado
outra
atendimento
desconto
olá
tarde
aluno
consegui
sei
grade
falar
bem
assim
cancelar
data
lá
boletos
presencial
outro
recebi
onde
ok
sistema
dúvida
dis
renovação
problema
ja
favor
informações
sendo
vcs
enviar
dias
resolver
tentando
pago
entendi
poderia
inscrição
vencimento
n
sala
primeiro
entrei
online
quanto
fica
mensalidades
mudar
algum
meses
cpf
erro
ead
tempo
mensagem
disciplina
período
tentei
estágio
né
tô
coisa
documentos
ontem
virtual
trancar
fevereiro
app
nome
opção
momento
atendente
matéria
contrato
abrir
todo
cancelamento
alguma
diz
primeira
somente
desse
unidade
informação
apenas
ir
reais
conseguir
oi
novo
nenhuma
ano
consta
estacio
graduação
referente
estudar
duas
nesse
antes
semana
novamente
tirar
segunda
tentar
transferência
ajudar
janeiro
declaração
mandar
passado
disse
desde
trabalho
dois
valores
nenhum
final
link
negociação
possível
consegue
telefone
todas
aberto
todos
noite
ai
instituição
ficar
ajuda
entro
prazo
cartão
solicitar
vez
documento
histórico
começar
sabe
dúvidas
parcelas
pós
aplicativo
turma
so
março
horário
conta
vi
horas
prova
dando
provas
acho
informar
errado
forma
faz
vezes
cobrando
via
comprovante
dar
realizar
verificar
veio
disponível
parcela
vem
documentação
diploma
funciona
mesma
nova
plataforma
ta
teams
início
poder
dá
deu
dados
p
feito
amanhã
passar
direito
algo
ninguém
próximo
pro
pagando
renovar
voltar
tbm
r
começa
devo
falta
sempre
estar
fazendo
falaram
após
pouco
correto
assistir
moça
dizer
continuar
cobrança
apareceu
acabei
campus
irei
segundo
existe
cursar
problemas
ah
fala
entender
trocar
aparecendo
colocar
enviei
aguardar
passo
situação
aluna
falando
código
dizendo
alterar
tento
parte
tendo
whatsapp
algumas
acordo
modalidade
hora
dezembro
celular
débito
nunca
quais
pedir
entra
resposta
dessa
solicitação
qualquer
hj
processo
solicitei
pedi
nota
atenção
to
pegar
precisa
trancamento
fiquei
retorno
cada
disso
juros
negociar
vão
gestão
disseram
matriculei
dívida
falou
área
login
relação
chegou
vestibular
normal
ligar
informaram
questão
horários
financeiro
realizei
informado
crédito
menos
enquanto
mandei
agradeço
paga
ficou
ensino
confirmar
financeiros
achei
falei
assuntos
calendário
rematrícula
página
toda
liguei
iria
possa
esperar
outras
entao
receber
conclusão
ligação
protocolo
matriculada
gentileza
pendente
empresa
mes
setembro
efetuar
certificado
redefinir
abre
melhor
conteúdo
alunoa
presenciais
nessa
abri
outubro
coloco
iniciar
ate
passaram
cadastro
agosto
tipo
outros
passou
cobrado
verdade
alguém
coordenador
alunos
partir
pede
atraso
ia
comecei
disponíveis
vence
pessoa
passada
havia
perdi
possibilidade
total
mandaram
termo
reabrir
dinheiro
la
finalizar
numero
web
clico
realmente
deveria
cursei
feira
colação
condições
alguns
pedindo
assinatura
logo
flex
entregar
estudante
gerar
três
grau
tela
manda
matriculado
concluir
professor
novembro
meio
perder
anos
materias
precisando
computador
duvida
motivo
vejo
coloquei
reabertura
efetuei
sexta
secretaria
inclusive
entendendo
ótimo
print
respeito
manhã
brasil
começam
análise
entendo
primeiros
incluir
aguardando
educa
cursos
quer
através
explicar
notas
central
liberado
montar
escolar
dificuldade
tava
olha
débitos
jeito
comigo
procedimento
lembro
durante
continua
seguinte
informou
microsoft
ficaria
aguardo
começo
tranquei
porem
atualizar
abril
avaliação
fico
tcc
digital
atividades
cidade
desculpa
aproveitamento
pedido
entrando
último
volta
